epoch,train_loss,train_acc,val_loss,val_acc,top1,top5,spike_rate,spike_rate_layer_1,spike_rate_layer_2,spike_rate_layer_3,spike_rate_layer_4,spike_rate_layer_5,spike_rate_layer_6,spike_rate_layer_7,spike_rate_layer_8,avg_spike_rate
51,0.5650868253243149,0.8645412579342181,1.111517746964127,0.7287563308947664,0.7287563308947664,0.8846370287000562,"[0.05823922460023897, 0.061986137674662344, 0.03239821495855628, 0.04151881172922945, 0.025341955633391137, 0.013659133881800274, 0.018837719621605332, 0.2494203955987754]",0.05823922460023897,0.061986137674662344,0.03239821495855628,0.04151881172922945,0.025341955633391137,0.013659133881800274,0.018837719621605332,0.2494203955987754,0.0626751992122824
52,0.547828018304386,0.872331217541835,1.0874894648297553,0.7338210467079347,0.7338210467079347,0.8880135059088351,"[0.057860387084861915, 0.06071332207672873, 0.033308969373424736, 0.041336146378996824, 0.025951411006693275, 0.013629014842275486, 0.018874099996504856, 0.2504850284309355]",0.057860387084861915,0.06071332207672873,0.033308969373424736,0.041336146378996824,0.025951411006693275,0.013629014842275486,0.018874099996504856,0.2504850284309355,0.06276979739880267
53,0.541937109302072,0.8772360069244085,1.0708667599061512,0.7394485087225662,0.7394485087225662,0.8857625211029826,"[0.05830967866821885, 0.060984092917404246, 0.03340732046835618, 0.04173737045497325, 0.02615014378791431, 0.013506700867004265, 0.01880237823739121, 0.25091949054368307]",0.05830967866821885,0.060984092917404246,0.03340732046835618,0.04173737045497325,0.02615014378791431,0.013506700867004265,0.01880237823739121,0.25091949054368307,0.06297714699311818
54,0.5059643738410052,0.8889209463358339,1.0863631087976022,0.7287563308947664,0.7287563308947664,0.8947664603263928,"[0.059533856294253784, 0.06139739086270574, 0.033551670268546566, 0.04234553289716962, 0.026108888920290712, 0.013358269920427776, 0.018618579965965897, 0.2500553341044527]",0.059533856294253784,0.06139739086270574,0.033551670268546566,0.04234553289716962,0.026108888920290712,0.013358269920427776,0.018618579965965897,0.2500553341044527,0.06312119040422659
55,0.49728257347418225,0.8892094633583382,1.0943412263473107,0.7304445694991559,0.7304445694991559,0.8942037141249296,"[0.060032839740416004, 0.062181670807535304, 0.033814529697278564, 0.04234889006281631, 0.025976694208452937, 0.013219008006918241, 0.01837168212455436, 0.25095254881071766]",0.060032839740416004,0.062181670807535304,0.033814529697278564,0.04234889006281631,0.025976694208452937,0.013219008006918241,0.01837168212455436,0.25095254881071766,0.06336223293233617
56,0.4993888708787531,0.890796306982112,1.100808200186391,0.7293190770962296,0.7293190770962296,0.8851997749015195,"[0.06001890739764554, 0.060879599029920295, 0.034117691925881856, 0.042460398719843334, 0.026218249175087846, 0.013077609020295937, 0.018242048751736656, 0.25201628003515925]",0.06001890739764554,0.060879599029920295,0.034117691925881856,0.042460398719843334,0.026218249175087846,0.013077609020295937,0.018242048751736656,0.25201628003515925,0.06337884800694635
57,0.49084708330059273,0.8877668782458165,1.0745554293926483,0.7366347777152504,0.7366347777152504,0.8925154755205402,"[0.06250867551818008, 0.06096266396396351, 0.03391573363626834, 0.0420154313478523, 0.026323539608823422, 0.012841316375940425, 0.01839629978690451, 0.2516702439143269]",0.06250867551818008,0.06096266396396351,0.03391573363626834,0.0420154313478523,0.026323539608823422,0.012841316375940425,0.01839629978690451,0.2516702439143269,0.06357923801903242
58,0.46361386538789345,0.8964223889209464,1.0887677632285295,0.7360720315137873,0.7360720315137873,0.8975801913337085,"[0.06199036499737849, 0.06121202928594496, 0.034029809748654376, 0.042032608672979616, 0.02628434565636361, 0.012748168505857669, 0.018385376731742176, 0.2527223919627176]",0.06199036499737849,0.06121202928594496,0.034029809748654376,0.042032608672979616,0.02628434565636361,0.012748168505857669,0.018385376731742176,0.2527223919627176,0.06367563694520481
59,0.4624977115425684,0.8949798038084247,1.0528628521232402,0.7388857625211029,0.7388857625211029,0.9020821609454136,"[0.06065129611148829, 0.06215504606726779, 0.03448854607202356, 0.0414813254792828, 0.026170440115976506, 0.012662666424531325, 0.018075974760308554, 0.25295133666629516]",0.06065129611148829,0.06215504606726779,0.03448854607202356,0.0414813254792828,0.026170440115976506,0.012662666424531325,0.018075974760308554,0.25295133666629516,0.06357957896214675
60,0.3304097826539989,0.9407097518753607,0.9126783781400423,0.76702307259426,0.76702307259426,0.9060213843556556,"[0.05996083621537955, 0.06116734496022169, 0.03493986585604763, 0.0419246940738271, 0.026632794426886704, 0.012689364756179886, 0.017953318564920398, 0.25395289825837336]",0.05996083621537955,0.06116734496022169,0.03493986585604763,0.0419246940738271,0.026632794426886704,0.012689364756179886,0.017953318564920398,0.25395289825837336,0.06365263963897955
